"","Local.Health.Board","Cluster","Practice.Name","PostCode","lon","lat"
"195","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Bodnant"," LL57 2HH",-4.1392715,53.2273889
"196","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Dwyfor","Treflan"," LL53 5NF",-4.4208838,52.8867936
"197","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Longford House Surgery"," LL65 1TR",-4.6350382,53.3083028
"198","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","The Health Centre"," LL61 5YZ",-4.207701,53.2216899
"199","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Llys Meddyg"," LL32 8AY",-3.8276054,53.281222
"200","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","The Surgery"," LL55 4SU",-4.1252234,53.1185566
"201","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","The Medical Centre"," LL30 3EU",-3.77756,53.3154396
"202","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Craig Y Don Medical Practice"," LL30 1TA",-3.8128439,53.319817
"203","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Lonfa"," LL31 9NS",-3.8053546,53.2857144
"204","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Dwyfor","The Health Centre"," LL52 0RR",-4.2403193,52.9184888
"205","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Gerafon Surgery"," LL74 8TF",-4.2264813,53.3193933
"206","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Gwydr Surgery"," LL26 0AR",-3.7921716,53.1390782
"207","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Dwyfor","Meddygfa Rhydbach"," LL53 8RE",-4.582481,52.8479694
"208","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Cambria Surgery"," LL65 1RA",-4.6366642,53.3098403
"209","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","1 Felinheli Terrace"," LL56 4JF",-4.2085755,53.1862862
"210","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Canolfan Feddygol Yr Hen Orsaf Medical Centre"," LL57 3NE",-4.0679488,53.1809172
"211","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Coed Y Glyn Surgery"," LL77 7DU",-4.3109177,53.2564692
"212","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Hafan Iechyd"," LL55 1TH",-4.275025,53.1445496
"213","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Bodreinallt"," LL32 8AT",-3.8267165,53.2807772
"214","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Meirionnydd","Bron Meirion"," LL48 6AL",-4.0699243,52.9288092
"215","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Llys Meddyg"," LL54 6HD",-4.2812269,53.053019
"216","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Bron Derw Medical Centre"," LL57 1AH",-4.1210753,53.2299619
"217","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Meirionnydd","Meddygfa"," LL23 7BA",-3.5950081,52.9108098
"218","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Meirionnydd","The Surgery"," LL40 1LY",-3.8859693,52.7414308
"219","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Dwyfor","Ty Doctor"," LL53 6EA",-4.5238488,52.9357845
"220","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Meddygfa Victoria"," LL65 1UB",-4.6317968,53.3117372
"221","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Liverpool House"," LL55 4YY",-4.206865,53.1112717
"222","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Glanfa"," LL57 1AY",-4.1210872,53.2311125
"223","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","The Surgery"," LL65 4RS",-4.4108273,53.2556046
"224","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Meddygfa Gyffin"," LL32 8LT",-3.8320369,53.2771625
"225","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Corwen House"," LL54 6NN",-4.2864322,53.052973
"226","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Dwyfor","Meddyg Care"," LL49 9NU",-4.1347727,52.9283534
"227","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Arfon","Dolwenith"," LL54 6NG",-4.2847603,53.0529602
"228","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","West Shore Surgery"," LL30 2BL",-3.8407584,53.3181667
"229","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Anglesey","Meddygfa Star Surgery"," LL60 6AH",-4.2443932,53.2237917
"230","CWM TAF LOCAL HEALTH BOARD","North Cynon","St John's Medical Practice"," CF44 7DD",-3.4477547,51.7141308
"231","CWM TAF LOCAL HEALTH BOARD","South Rhondda","Pontnewydd Surgery"," CF39 9RT",-3.4093199,51.6129438
"232","CWM TAF LOCAL HEALTH BOARD","North Merthyr Tydfil","Practice 3"," CF47 1BZ",-3.3713104,51.7565047
"233","CWM TAF LOCAL HEALTH BOARD","South Rhondda","Porth Farm Surgery"," CF39 9RR",-3.4085011,51.6126209
"234","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","Ty Bryn Surgery"," CF83 8GL",-3.1903243,51.5936354
"235","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Llynfi Surgery"," CF34 9DT",-3.6614685,51.6100679
"236","ABERTAWE BRO MORGANNWG LHB","Bridgend East Network","Oak Tree Surgery"," CF31 2PQ",-3.5579099,51.5068901
"237","CWM TAF LOCAL HEALTH BOARD","South Taf Ely","Parc Canol Surgery"," CF38 1RJ",-3.3176941,51.5670072
"238","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Woodlands Surgery"," CF34 0AS",-3.6621123,51.6158318
"239","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","The Lawns Medical Practice"," NP22 5PW",-3.2831257,51.7579635
"240","CWM TAF LOCAL HEALTH BOARD","North Taf Ely","Eglwysbach Surgery"," CF37 2AA",-3.3381162,51.6075098
"241","CWM TAF LOCAL HEALTH BOARD","North Cynon","Cwmaman Health Centre"," CF44 6HY",-3.4465967,51.685551
"242","ABERTAWE BRO MORGANNWG LHB","Bridgend East Network","New Surgery"," CF35 5PE",-3.4970858,51.5235907
"243","ABERTAWE BRO MORGANNWG LHB","Bridgend East Network","The Medical Centre"," CF35 5PF",-3.4986262,51.5222131
"244","CWM TAF LOCAL HEALTH BOARD","North Rhondda","Tylorstown Surgery"," CF43 3HB",-3.4328992,51.6416309
"245","CWM TAF LOCAL HEALTH BOARD","North Cynon","Hirwaun Health Centre"," CF44 9NS",-3.5080237,51.7365806
"246","CWM TAF LOCAL HEALTH BOARD","North Merthyr Tydfil","Practice 1"," CF47 1BZ",-3.3713104,51.7565047
"247","CWM TAF LOCAL HEALTH BOARD","North Taf Ely","Ashgrove Surgery"," CF37 2DR",-3.3402678,51.6050483
"248","CWM TAF LOCAL HEALTH BOARD","South Taf Ely","Old School Surgery"," CF72 9AA",-3.3912492,51.5244437
"249","CWM TAF LOCAL HEALTH BOARD","South Merthyr Tydfil","Troed Y Fan Practice (Aberfan Surgery)"," CF48 4QU",-3.3444606,51.6940847
"250","CWM TAF LOCAL HEALTH BOARD","South Rhondda","Tonypandy Health Centre"," CF40 2LE",-3.4551053,51.6251638
"251","CWM TAF LOCAL HEALTH BOARD","South Cynon","Rhos House Surgery"," CF45 3HD",-3.3773525,51.6813759
"252","CWM TAF LOCAL HEALTH BOARD","North Rhondda","The Surgery"," CF41 7BD",-3.488414,51.6444022
"253","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Cwm Garw Practice"," CF32 8NN",-3.5859468,51.6154496
"254","CWM TAF LOCAL HEALTH BOARD","South Merthyr Tydfil","Treharris Primary Care Centre"," CF46 5HE",-3.3032523,51.6657936
"255","ABERTAWE BRO MORGANNWG LHB","Bridgend West Network","The Surgery"," CF33 4LD",-3.7051695,51.5205428
"256","ABERTAWE BRO MORGANNWG LHB","Bridgend East Network","Riversdale House"," CF31 3NL",-3.579198,51.5036738
"257","CWM TAF LOCAL HEALTH BOARD","South Taf Ely","Newpark Surgery"," CF72 8AJ",-3.3832176,51.5362466
"258","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Tynycoed Surgery"," CF32 9SW",-3.5831756,51.5415232
"259","CWM TAF LOCAL HEALTH BOARD","South Cynon","Penrhiwceiber Medical Centre"," CF45 3SQ",-3.3612935,51.6691992
"260","ABERTAWE BRO MORGANNWG LHB","Bridgend West Network","The Portway Surgery"," CF36 3XB",-3.7028734,51.478671
"261","CWM TAF LOCAL HEALTH BOARD","South Cynon","Abercynon Health Centre"," CF45 4SU",-3.3290483,51.6465313
"262","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Nelson Surgery"," CF46 6HL",-3.2913241,51.6500814
"263","CWM TAF LOCAL HEALTH BOARD","South Rhondda","Park Lane Surgery"," CF39 8AG",-3.4333721,51.5781964
"264","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","Tonyfelin Medical Centre"," CF83 1XP",-3.2161068,51.578096
"265","CWM TAF LOCAL HEALTH BOARD","North Cynon","Parc Surgery"," CF44 8LL",-3.4589039,51.7227959
"266","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","Nantgarw Road Medical Centre "," CF83 2AX",-3.2456358,51.5705636
"267","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Meddygfa Gelligaer Surgery"," CF82 8FA",-3.2514471,51.6623096
"268","CWM TAF LOCAL HEALTH BOARD","North Rhondda","Ferndale Medical Centre"," CF43 4XX",-3.4484253,51.662176
"269","CWM TAF LOCAL HEALTH BOARD","North Rhondda","Forest View Medical Centre"," CF42 6DL",-3.5172984,51.6640849
"270","CWM TAF LOCAL HEALTH BOARD","South Rhondda","Penygraig Surgery"," CF40 1QN",-3.4463172,51.6118382
"271","CWM TAF LOCAL HEALTH BOARD","North Taf Ely","Taff Vale Practice"," CF37 5RW",-3.3130438,51.586859
"272","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","Court House Medical Practice"," CF83 3GH",-3.2181564,51.5843851
"273","CWM TAF LOCAL HEALTH BOARD","South Taf Ely","The Medical Centre"," CF15 7YG",-3.2674877,51.543848
"274","CWM TAF LOCAL HEALTH BOARD","South Rhondda","St. Andrews Surgery"," CF40 2QZ",-3.4572635,51.6248853
"275","ABERTAWE BRO MORGANNWG LHB","Bridgend West Network","Heathbridge House"," CF33 6BY",-3.6838852,51.530868
"276","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Bron y Garn Surgery"," CF34 9AL",-3.656196,51.606078
"277","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Oakfield Surgery"," CF82 7WX",-3.2348371,51.6417051
"278","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Ogmore Vale Surgery"," CF32 7BL",-3.5420602,51.6037533
"279","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Bryntirion Surgery"," CF81 8SA",-3.233451,51.6880541
"280","ABERTAWE BRO MORGANNWG LHB","Bridgend East Network","Ashfield Surgery"," CF31 3NW",-3.5786107,51.5025217
"281","CWM TAF LOCAL HEALTH BOARD","North Rhondda","New Tynewydd Surgery"," CF42 5LW",-3.5413146,51.6772688
"282","CWM TAF LOCAL HEALTH BOARD","South Merthyr Tydfil","Pontcae Medical Practice"," CF48 1YE",-3.3840772,51.7463069
"283","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","The Village Surgery"," CF83 3JZ",-3.2313504,51.6036607
"284","CWM TAF LOCAL HEALTH BOARD","South Rhondda","The Surgery"," CF40 2SX",-3.4511578,51.6390956
"285","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","South Street Surgery"," CF81 8ST",-3.2319853,51.6900207
"286","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","New Street Surgery"," CF32 9BL",-3.5976201,51.5426311
"287","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly North","Meddygfa Cwm Rhymni Practice"," NP22 5NU",-3.2843197,51.7597039
"288","CWM TAF LOCAL HEALTH BOARD","North Merthyr Tydfil","Morlais Medical Practice"," CF48 3AL",-3.3577562,51.7622144
"289","CWM TAF LOCAL HEALTH BOARD","North Cynon","Maendy Place Surgery"," CF44 7AY",-3.4471381,51.7138597
"290","CWM TAF LOCAL HEALTH BOARD","South Merthyr Tydfil","Oakland Surgery"," CF46 6TE",-3.3100028,51.6983133
"291","CWM TAF LOCAL HEALTH BOARD","South Rhondda","Cwm Gwyrdd Medical Centre"," CF39 8SX",-3.4743892,51.5920497
"292","CWM TAF LOCAL HEALTH BOARD","South Cynon","Cardiff Road Surgery"," CF45 4EY",-3.3759109,51.6824898
"293","CWM TAF LOCAL HEALTH BOARD","North Cynon","74 Monk Street"," CF44 7PA",-3.447168,51.7116204
"294","CWM TAF LOCAL HEALTH BOARD","South Merthyr Tydfil","Brookside Surgery  Troedyrhiw (LHB Managed)","",NA,NA
"295","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","Lansbury Surgery"," CF83 1RB",-3.2063386,51.5779789
"296","ABERTAWE BRO MORGANNWG LHB","Bridgend North Network","Nantymoel Surgery"," CF32 7NA",-3.5366976,51.6194518
"297","CWM TAF LOCAL HEALTH BOARD","North Merthyr Tydfil","Practice 2"," CF47 1BZ",-3.3713104,51.7565047
"298","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Montgomery Health Centre"," SY15 6PF",-3.1482407,52.5593612
"299","POWYS TEACHING LOCAL HEALTH BOARD","South Powys","Meddygfa Pengorof"," SA9 1DS",-3.7654067,51.7757989
"300","POWYS TEACHING LOCAL HEALTH BOARD","South Powys","Ty Henry Vaughan"," LD3 8AH",-3.3955798,51.947251
"301","POWYS TEACHING LOCAL HEALTH BOARD","Mid Powys","Wylcwm Street Surgery"," LD7 1AD",-3.0483414,52.3449123
"302","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Arwystli Medical Practice"," SY18 6EZ",-3.540324,52.4474404
"303","POWYS TEACHING LOCAL HEALTH BOARD","Mid Powys","Rhayader Medical Centre"," LD6 5ED",-3.5080912,52.3010325
"304","POWYS TEACHING LOCAL HEALTH BOARD","Mid Powys","Builth Wells Medical Practice"," LD2 3DZ",-3.410865,52.1498158
"305","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Health Centre"," SY21 0RT",-3.3245174,52.6496713
"306","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Welshpool Health Centre"," SY21 7BA",-3.1339101,52.6632012
"307","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Glantwymyn Health Centre"," SY20 8LB",-3.7419401,52.6260172
"308","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Llanfyllin Medical Centre"," SY22 5DG",-3.2730591,52.7670987
"309","POWYS TEACHING LOCAL HEALTH BOARD","Mid Powys","Llandrindod Wells Medical Centre"," LD1 5ES",-3.3763722,52.2384265
"310","POWYS TEACHING LOCAL HEALTH BOARD","North Powys","Newtown Medical Centre"," SY16 1EF",-3.316578,52.5121976
"311","POWYS TEACHING LOCAL HEALTH BOARD","South Powys","War Memorial Health Centre"," NP8 1AG",-3.1339156,51.8573255
"312","POWYS TEACHING LOCAL HEALTH BOARD","South Powys","Hay on Wye Health Centre"," HR3 5DS",-3.1256535,52.0711263
"313","POWYS TEACHING LOCAL HEALTH BOARD","Mid Powys","Presteigne Health Centre"," LD8 2RJ",-3.0025711,52.2722418
"314","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","West Quay Medical Centre"," CF62 5QN",-3.2792543,51.3996933
"315","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","Roathwell Surgery"," CF24 1YT",-3.1585754,51.4879656
"316","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Eastern Vale","Redlands Surgery"," CF64 3WX",-3.1866138,51.434506
"317","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Llandaff Fields Medical Practice"," CF11 9SH",-3.1955878,51.4806701
"318","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff East","Brynderwen Surgery"," CF3 0EF",-3.1017364,51.5254074
"319","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","Cloughmore Surgery"," CF24 2XY",-3.1481308,51.482606
"320","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff East","Llanedeyrn Health Centre"," CF23 9PN",-3.1518949,51.5125972
"321","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","Cathays Surgery"," CF24 4HU",-3.1821587,51.4948608
"322","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","Cyncoed Medical Practice"," CF23 8SQ",-3.1504582,51.5304961
"323","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Eastern Vale","Stanwell Surgery"," CF64 3XE",-3.1826766,51.4346896
"324","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","Llanishen Court Surgery"," CF14 5YU",-3.1883091,51.5285818
"325","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","Meddygfa Albany Surgery"," CF24 3JD",-3.1715255,51.4919731
"326","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","North Cardiff Medical Centre"," CF14 9BB",-3.1945457,51.5377172
"327","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","The Taff Riverside Practice"," CF11 9SH",-3.1955878,51.4806701
"328","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Westway"," CF5 4LJ",-3.2535324,51.475227
"329","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","The Surgery St Davids Court"," CF11 9DT",-3.1906728,51.4816103
"330","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","North Road Medical Practice"," CF14 3XQ",-3.1942446,51.4998099
"331","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","Birchgrove Surgery"," CF14 4QJ",-3.2011483,51.5168873
"332","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Woodlands Medical Centre"," CF5 4RG",-3.2624656,51.471777
"333","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Radyr Medical Centre"," CF15 8DZ",-3.2509945,51.5129671
"334","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","Whitchurch Road Surgery"," CF14 3NB",-3.1904892,51.5027615
"335","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff East","Rumney Medical Practice"," CF3 4LH",-3.1299169,51.509619
"336","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Bishops Road Medical Centre"," CF14 1LT",-3.2201863,51.5114575
"337","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","Saltmead Medical Centre"," CF11 6QQ",-3.1866526,51.4731985
"338","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Meddygfa Lansdowne Surgery"," CF11 8DG",-3.2179273,51.4802694
"339","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","Waterfront Surgery"," CF63 4AR",-3.2678305,51.4023916
"340","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","The Penylan Surgery"," CF23 5SY",-3.1641231,51.4965519
"341","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","Roath House Surgery"," CF23 5RH",-3.162659,51.4978882
"342","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Danescourt Surgery"," CF5 2SH",-3.2415799,51.504336
"343","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Western Vale","Cowbridge & Vale Medical Practice"," CF71 7DA",-3.453472,51.463998
"344","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Ely Bridge Surgery"," CF5 4AD",-3.2338159,51.4836372
"345","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","Crwys Medical Centre"," CF14 3QX",-3.1821418,51.5036732
"346","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","Grange Surgery"," CF11 6RW",-3.1867562,51.4710843
"347","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Western Vale","Eryl Surgery"," CF61 1ST",-3.4845987,51.409501
"348","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","Ravenscourt Surgery"," CF62 8AZ",-3.2684937,51.4077234
"349","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Fairwater Health Centre"," CF5 3JT",-3.2413744,51.4909579
"350","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","Four Elms Medical Centre"," CF24 2HP",-3.1270211,51.4874911
"351","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Western Vale","Cowbridge & Western Vale Practice"," CF71 7DA",-3.453472,51.463998
"352","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","St Isan Road Surgery"," CF14 4UU",-3.1904072,51.5172935
"353","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Eastern Vale","Dinas Powys Medical Centre"," CF64 4JT",-3.2139538,51.4352603
"354","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","The City Surgery"," CF24 3WD",-3.1708064,51.4908923
"355","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Eastern Vale","Albert Road Surgery"," CF64 1BX",-3.1719372,51.4417214
"356","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","Court Road Surgery"," CF63 4YD",-3.2640401,51.4088956
"357","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Meddygfa Llwyncelyn Practice"," CF14 7EZ",-3.2286643,51.5180411
"358","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South East","Clifton Surgery"," CF24 1AG",-3.1594814,51.4879117
"359","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","Grange Medical Practice"," CF11 7XA",-3.1988419,51.4662209
"360","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","Sully Surgery"," CF64 5TG",-3.2190964,51.4068634
"361","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","4 Corporation Road"," CF11 7AT",-3.1853157,51.4693904
"362","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","Highlight Park Medical Practice"," CF62 8GP",-3.2910537,51.4159302
"363","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff North","St. Davids Medical Centre"," CF23 7SD",-3.1462575,51.5251151
"364","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Kings Road Surgery"," CF11 9DQ",-3.1994279,51.4859722
"365","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","The Caerau Lane Surgery"," CF5 5HJ",-3.2486471,51.4745598
"366","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff East","Willowbrook Surgery"," CF3 0SH",-3.0914111,51.5246317
"367","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Llandaff North Medical Centre"," CF14 2FD",-3.2288272,51.5059001
"368","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","Butetown Health Centre (Saunders)"," CF10 5UZ",NA,NA
"369","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Whitchurch Village Practice"," CF14 7EZ",-3.2286643,51.5180411
"370","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Meddygfa Canna Surgery"," CF11 9EE",-3.1976828,51.482582
"371","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","Clare Road Medical Centre"," CF11 6RW",-3.1867562,51.4710843
"372","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Central Vale","The Practice Of Health"," CF63 1BA",-3.2576694,51.4135684
"373","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","City & Cardiff South","Butetown Health Centre (Tiwari)"," CF10 5UZ",NA,NA
"374","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff West","Llandaff Surgery"," CF5 2DY",-3.2190897,51.4936106
"375","CARDIFF & VALE UNIVERSITY LOCAL HEALTH BOARD","Cardiff South West","Greenmount Surgery"," CF5 5LQ",-3.2475998,51.4704795
"376","ABERTAWE BRO MORGANNWG LHB","Upper Valleys","Pontardawe Primary Care Centre"," SA8 4JU",-3.8470988,51.7195649
"377","ABERTAWE BRO MORGANNWG LHB","Neath","Dyfed Road Health Centre"," SA11 3AP",-3.7986879,51.6623513
"378","ABERTAWE BRO MORGANNWG LHB","Penderi","Cwmfelin Medical Centre"," SA1 1HW",-3.9492658,51.6339236
"379","ABERTAWE BRO MORGANNWG LHB","Penderi","Brynhyfryd Surgery"," SA5 9EB",-3.9458134,51.6447631
"380","ABERTAWE BRO MORGANNWG LHB","Cwmtawe","Llansamlet Surgery"," SA7 9RY",-3.8845156,51.6598095
"381","ABERTAWE BRO MORGANNWG LHB","Neath","Castle Surgery"," SA11 3EW",-3.8019205,51.6651073
"382","ABERTAWE BRO MORGANNWG LHB","Penderi","Fforestfach Medical Group (Phillips & partners)"," SA5 5AA",-3.9723857,51.6448952
"383","ABERTAWE BRO MORGANNWG LHB","Llwchwr","Princess Street Surgery"," SA4 4US",-4.045574,51.6707014
"384","ABERTAWE BRO MORGANNWG LHB","Neath","Skewen Medical Centre"," SA10 6UH",-3.8400696,51.6598126
"385","ABERTAWE BRO MORGANNWG LHB","Llwchwr","Gowerton Medical Centre"," SA4 3ED",-4.0418873,51.6491833
"386","ABERTAWE BRO MORGANNWG LHB","Llwchwr","Tal Y Bont Surgery"," SA4 8TJ",-4.0453565,51.7165318
"387","ABERTAWE BRO MORGANNWG LHB","CityHealth","Mayhill Surgery"," SA1 6JZ",-3.959337,51.6255279
"388","ABERTAWE BRO MORGANNWG LHB","BayHealth","St. Thomas Surgery"," SA1 8LH",-3.9160009,51.6209106
"389","ABERTAWE BRO MORGANNWG LHB","Afan","Afan Valley Group Practice"," SA13 3DP",-3.628799,51.6778686
"390","ABERTAWE BRO MORGANNWG LHB","Afan","Cwmafan Health Centre(Browning & Basir)"," SA12 9BA",-3.7612364,51.6145221
"391","ABERTAWE BRO MORGANNWG LHB","CityHealth","Nicholl Street Medical Centre"," SA1 4HF",-3.9524096,51.6196544
"392","ABERTAWE BRO MORGANNWG LHB","BayHealth","Sketty and Killay Medical Centres"," SA2 9EA",-3.9849964,51.6165898
